0x240L,FUN_00000240
0x248L,FUN_00000248
0x2ecL,FUN_000002ec
0x310L,FUN_00000310
0x370L,FUN_00000370
0x3a0L,FUN_000003a0
0x73cL,FUN_0000073c
0x748L,FUN_00000748
0x76cL,FUN_0000076c
0x77cL,FUN_0000077c
0x7ecL,FUN_000007ec
0x7eeL,FUN_000007ee
0x8acL,FUN_000008ac
0x964L,FUN_00000964
0x968L,FUN_00000968
0x974L,FUN_00000974
0x990L,FUN_00000990
